protein,protein frequency
A0A024R6X1_CES2    ,4                  
A0A075B6L0_IGLC3   ,0                  
A0A087WVW2_IGHG3   ,0                  
P06331             ,0                  
A0A075B6R9         ,2                  
A0A087WSX4         ,4                  
A0A087WT59_TTR     ,0                  
P19823_ITIH2       ,0                  
A0A087WX49_IGLL5   ,42                 
A0A0A0MS15         ,27                 
A0A087WV47_IGHG1   ,0                  
A0A087WW89         ,27                 
P06753_2_TPM3      ,2                  
Q9Y6R7_FCGBP       ,0                  
A0A087WZH9         ,0                  
A0A087WZM2_RNASET2 ,6                  
A0A087WZW8         ,17                 
A0A087X130         ,47                 
A0A075B6P5         ,2                  
A0A087X2C0         ,0                  
Q06830_PRDX1       ,0                  
P13797_PLS3        ,0                  
A8K2U0_A2ML1       ,0                  
P08670_VIM         ,6                  
P15153_RAC2        ,0                  
P09429_HMGB1       ,0                  
P62258_YWHAE       ,0                  
B4E1Z4_CFB         ,5                  
B5MDF5_RAN         ,0                  
B7Z6Z4_MYL6        ,0                  
P06454_PTMA        ,2                  
P40925_3_MDH1      ,3                  
P51149_RAB7A       ,0                  
C9JC84_FGG         ,0                  
P19971_2_TYMP      ,0                  
Q9UG63_2_ABCF2     ,2                  
P30838_ALDH3A1     ,0                  
C9JV77_AHSG        ,0                  
O15145_ARPC3       ,0                  
CON__P00761        ,7                  
CON__P01966        ,0                  
CON__P02538_KRT6A  ,0                  
CON__P02768_1_ALB  ,0                  
P02769_BSA         ,17                 
CON__P08779_KRT16  ,0                  
CON__P13645_KRT10  ,0                  
CON__P13646_1      ,2                  
CON__P35527_KRT9   ,0                  
CON__P60712_ACTB   ,0                  
CON__Q3MHH8        ,30                 
O75083_WDR1        ,0                  
D6RF35_GC          ,0                  
E5RHG6_TBCA        ,0                  
E7EQR4_EZR         ,6                  
P02788_LTF         ,252                
E7EX29_YWHAZ       ,0                  
P04406_GAPDH       ,0                  
P11413_2_G6PD      ,9                  
P55786_NPEPPS      ,0                  
O00764_PDXK        ,0                  
P0C0L5_C4B         ,3                  
P22079_LPO         ,0                  
P61160_2_ACTR2     ,0                  
Q14697_2_GANAB     ,1                  
P09382_LGALS1      ,0                  
P17858_PFKL        ,0                  
P06576_ATP5B       ,14                 
Q9NZL9_MAT2B       ,5                  
J3KPA1_CRISP3      ,0                  
P04075_2_ALDOA     ,0                  
P68431_HIST1H3A    ,4                  
O00299_CLIC1       ,0                  
O00391_QSOX1       ,0                  
O15511_2_ARPC5     ,0                  
O43707_ACTN4       ,0                  
O60888_2_CUTA      ,0                  
O75594_PGLYRP1     ,27                 
O95274_LYPD3       ,0                  
O95336_PGLS        ,0                  
P00330_ADH1        ,18                 
P00338_3_LDHA      ,0                  
P00450_CP          ,0                  
P00489_GPB         ,19                 
P00491_PNP         ,0                  
P00558_PGK1        ,5                  
P00738_HP          ,0                  
P00924_ENO1        ,0                  
P01008_SERPINC1    ,0                  
P01009_SERPINA1    ,0                  
P01023_A2M         ,0                  
P01024_C3          ,7                  
P01033_TIMP1       ,0                  
P01034_CST3        ,0                  
P01036_CST4        ,0                  
P01037_CST1        ,0                  
P01042_2_KNG1      ,0                  
P01591_IGJ         ,0                  
P01593             ,0                  
P01598             ,6                  
P01616             ,0                  
P01622             ,0                  
P01623             ,42                 
P01624             ,18                 
P06314_IGKV4_1     ,0                  
P01714             ,0                  
P01717             ,0                  
P01763             ,49                 
P01767             ,4                  
P01779             ,0                  
P01780             ,0                  
P01833_PIGR        ,0                  
P01859_IGHG2       ,0                  
P01861_IGHG4       ,0                  
P01876_IGHA1       ,0                  
P01877_IGHA2       ,0                  
P02647_APOA1       ,0                  
P02671_FGA         ,0                  
P02675_FGB         ,0                  
P02750_LRG1        ,0                  
P02753_RBP4        ,0                  
P02760_AMBP        ,0                  
P02763_ORM1        ,0                  
P02787_TF          ,0                  
P02790_HPX         ,0                  
P02814_SMR3B       ,0                  
P03973_SLPI        ,0                  
P04004_VTN         ,0                  
P04040_CAT         ,0                  
P04080_CSTB        ,0                  
P04083_ANXA1       ,0                  
P04196_HRG         ,0                  
P04217_A1BG        ,0                  
P04264_KRT1        ,12                 
P04280_PRB1        ,0                  
P04745_AMY1A       ,0                  
P04792_HSPB1       ,0                  
P04899_4_GNAI2     ,0                  
P05109_S100A8      ,12                 
P05164_3_MPO       ,90                 
P05386_RPLP1       ,0                  
P06396_GSN         ,4                  
P06702_S100A9      ,138                
P06733_ENO1        ,3                  
A0A0A0MTS2_GPI     ,0                  
P06870_KLK1        ,162                
P07108_6_DBI       ,0                  
P07237_P4HB        ,0                  
P07339_CTSD        ,2                  
P07737_PFN1        ,0                  
P07858_CTSB        ,0                  
P07900_2_HSP90AA1  ,0                  
P07996_THBS1       ,188                
P08107_HSPA1A      ,2                  
P08238_HSP90AB1    ,0                  
P08246_ELANE       ,11                 
P08311_CTSG        ,0                  
P08571_CD14        ,0                  
P08603_CFH         ,0                  
