"","presence_in_folds_and_repetitions","acc","signature"
"1",0.1,0.72,"P00330_ADH1, P00489_GPB, P02769_BSA, P00924_ENO1, P01036_CST4, P02787_TF, Q99879_HIST1H2BM, P01023_A2M, P01037_CST1, P00738_HP, P09228_CST2, P01008_SERPINC1, P01859_IGHG2, P05386_RPLP1, P07339_CTSD, A0A087WVW2_IGHG3, B7Z6Z4_MYL6, D6RF35_GC, CON__P00761, Q9NQ38-3_SPINK5, P00450_CP, P18669_PGAM1, P01009_SERPINA1, Q06830_PRDX1, A0A087WV47_IGHG1, P30838_ALDH3A1, P12429_ANXA3, P02750_LRG1, P02790_HPX, P04217_A1BG, P28325_CST5, P04792_HSPB1, P02763_ORM1, O00391_QSOX1, P02647_APOA1, P22314_UBA1, P04196_HRG, P01042-2_KNG1, P05164-3_MPO, P04083_ANXA1, P07996_THBS1, P02671_FGA, P02760_AMBP, Q08188_TGM3"
"2",0.2,0.616666666666667,"P00330_ADH1, P00489_GPB, P02769_BSA, P00924_ENO1, P01036_CST4, P02787_TF, Q99879_HIST1H2BM, P01023_A2M, P01037_CST1, P00738_HP, P09228_CST2, P01008_SERPINC1, P05386_RPLP1, P07339_CTSD, A0A087WVW2_IGHG3, B7Z6Z4_MYL6, Q9NQ38-3_SPINK5, P18669_PGAM1, P01009_SERPINA1, P30838_ALDH3A1, P12429_ANXA3, P02750_LRG1, P28325_CST5, P04792_HSPB1, P02763_ORM1, O00391_QSOX1, P02647_APOA1, P04196_HRG, P01042-2_KNG1, P05164-3_MPO, P07996_THBS1, P02671_FGA, P02760_AMBP, Q08188_TGM3"
"3",0.3,0.613333333333333,"P00330_ADH1, P00489_GPB, P02769_BSA, P01036_CST4, P01023_A2M, P01037_CST1, P00738_HP, P09228_CST2, P05386_RPLP1, A0A087WVW2_IGHG3, B7Z6Z4_MYL6, P01009_SERPINA1, P12429_ANXA3, P28325_CST5, P04792_HSPB1, P02763_ORM1, O00391_QSOX1, P04196_HRG, P01042-2_KNG1, P02760_AMBP, Q08188_TGM3"
"4",0.4,0.7,"P00330_ADH1, P00489_GPB, P02769_BSA, P01036_CST4, P01037_CST1, P09228_CST2, P05386_RPLP1, B7Z6Z4_MYL6, P01009_SERPINA1, O00391_QSOX1"
"5",0.5,0.773333333333333,"P00330_ADH1, P00489_GPB, P02769_BSA, P01036_CST4, P01037_CST1, P09228_CST2, P05386_RPLP1, P01009_SERPINA1"
"6",0.6,0.793333333333333,"P00330_ADH1, P00489_GPB, P02769_BSA, P01036_CST4, P01037_CST1, P09228_CST2, P05386_RPLP1, P01009_SERPINA1"
"7",0.7,0.68,"P00330_ADH1, P01036_CST4, P01037_CST1, P09228_CST2, P05386_RPLP1, P01009_SERPINA1"
"8",0.8,0.54,"P00330_ADH1, P01037_CST1, P09228_CST2, P05386_RPLP1"
"9",0.9,0.746666666666667,"P00330_ADH1, P09228_CST2"
"10",1,-1,"P09228_CST2"
