protein,protein frequency
A0A024R6X1_CES2    ,954                
A0A075B6L0_IGLC3   ,192                
A0A087WVW2_IGHG3   ,756                
P06331             ,1                  
A0A075B6R9         ,0                  
P06310             ,0                  
A0A087WSX4         ,0                  
A0A087WT59_TTR     ,0                  
P19823_ITIH2       ,304                
A0A087WZM5_FKBP1A  ,559                
O75626_PRDM1       ,128                
A0A087WX49_IGLL5   ,0                  
A0A0A0MS15         ,437                
A0A087WV47_IGHG1   ,1747               
A0A087WVN6         ,0                  
A0A087WW89         ,0                  
P06753_2_TPM3      ,199                
Q9Y6R7_FCGBP       ,36                 
Q96KP4_CNDP2       ,0                  
A0A087WZH9         ,197                
A0A087WZM2_RNASET2 ,4680               
A0A087WZW8         ,217                
A0A087X130         ,0                  
A0A075B6P5         ,0                  
A0A087X2C0         ,232                
Q06830_PRDX1       ,953                
P13797_PLS3        ,242                
A8K2U0_A2ML1       ,79                 
P08670_VIM         ,0                  
P15153_RAC2        ,316                
P09429_HMGB1       ,35                 
B4E1Z4_CFB         ,7                  
B5MDF5_RAN         ,1473               
B7Z6Z4_MYL6        ,120                
B7ZKJ8_ITIH4       ,0                  
P40925_3_MDH1      ,0                  
C9JC84_FGG         ,0                  
P19971_2_TYMP      ,380                
Q9UG63_2_ABCF2     ,88                 
P30838_ALDH3A1     ,1015               
C9JV77_AHSG        ,5112               
CON__P00761        ,0                  
CON__P01966        ,0                  
CON__P02538_KRT6A  ,0                  
CON__P02768_1_ALB  ,488                
CON__P02769_ALB    ,0                  
CON__P08779_KRT16  ,7                  
CON__P13645_KRT10  ,0                  
CON__P13646_1      ,3                  
CON__P13647_KRT5   ,2                  
CON__P19013        ,400                
CON__P35527_KRT9   ,137                
CON__P60712_ACTB   ,4701               
CON__Q3MHH8        ,0                  
D6RF35_GC          ,75                 
E5RHG6_TBCA        ,0                  
E7EQR4_EZR         ,0                  
P02788_LTF         ,47                 
E7EX29_YWHAZ       ,0                  
P11413_2_G6PD      ,1841               
Q9H0U4_RAB1B       ,3350               
P55786_NPEPPS      ,1095               
O00764_PDXK        ,2022               
P0C0L5_C4B         ,5                  
P22079_LPO         ,854                
F5H5D3_TUBA1C      ,0                  
Q14697_2_GANAB     ,0                  
P30040_ERP29       ,120                
P09382_LGALS1      ,0                  
Q8TD19_NEK9        ,658                
P16070_CD44        ,23                 
P06576_ATP5B       ,12                 
P00441_SOD1        ,92                 
J3KPA1_CRISP3      ,0                  
P68431_HIST1H3A    ,761                
K7ELL7_PRKCSH      ,0                  
O00299_CLIC1       ,1165               
O00391_QSOX1       ,0                  
O15511_2_ARPC5     ,4758               
O43707_ACTN4       ,955                
O60888_2_CUTA      ,44                 
O75594_PGLYRP1     ,485                
O95336_PGLS        ,2042               
P00330_ADH1        ,0                  
P00338_3_LDHA      ,2267               
P00352_ALDH1A1     ,748                
P00450_CP          ,1615               
P00489_PYGM        ,0                  
P00491_PNP         ,14                 
P00558_PGK1        ,1257               
P00738_HP          ,105                
P00924_ENO1        ,164                
P01008_SERPINC1    ,0                  
P01009_SERPINA1    ,1928               
P01023_A2M         ,3                  
P01024_C3          ,763                
P01033_TIMP1       ,0                  
P01034_CST3        ,5184               
P01036_CST4        ,55                 
P01037_CST1        ,515                
P01042_2_KNG1      ,1016               
P01591_IGJ         ,12                 
P01593             ,0                  
P01598             ,0                  
P01616             ,762                
P01622             ,0                  
P01623             ,0                  
P06314_IGKV4_1     ,314                
P01714             ,0                  
P01717             ,16                 
P01763             ,0                  
P01767             ,0                  
P01779             ,0                  
P04438             ,0                  
P01833_PIGR        ,0                  
P01859_IGHG2       ,5184               
P01861_IGHG4       ,984                
P01876_IGHA1       ,0                  
P01877_IGHA2       ,58                 
P02647_APOA1       ,5184               
P02671_FGA         ,138                
P02675_FGB         ,655                
P02750_LRG1        ,1                  
P02753_RBP4        ,0                  
P02760_AMBP        ,10                 
P02763_ORM1        ,1413               
P02787_TF          ,1163               
P02790_HPX         ,946                
P02814_SMR3B       ,218                
P03973_SLPI        ,0                  
P04004_VTN         ,183                
P04040_CAT         ,2647               
P04075_2_ALDOA     ,5184               
P04080_CSTB        ,533                
P04083_ANXA1       ,0                  
P04196_HRG         ,203                
P04209             ,0                  
P04217_A1BG        ,2                  
P04264_KRT1        ,0                  
P04280_PRB1        ,3761               
P04406_GAPDH       ,148                
P04745_AMY1A       ,0                  
