protein,protein frequency
A0A024R6X1_CES2    ,0                  
A0A075B6L0_IGLC3   ,2                  
A0A087WVW2_IGHG3   ,0                  
P06331             ,0                  
A0A075B6R9         ,0                  
A0A087WSX4         ,0                  
A0A087WT59_TTR     ,0                  
P19823_ITIH2       ,0                  
A0A087WX49_IGLL5   ,0                  
A0A0A0MS15         ,1                  
A0A087WV47_IGHG1   ,0                  
A0A087WW89         ,0                  
P06753-2_TPM3      ,0                  
Q9Y6R7_FCGBP       ,0                  
A0A087WZH9         ,0                  
A0A087WZM2_RNASET2 ,0                  
A0A087WZW8         ,0                  
A0A087X130         ,0                  
A0A075B6P5         ,0                  
A0A087X2C0         ,54                 
Q06830_PRDX1       ,3                  
P13797_PLS3        ,3                  
A8K2U0_A2ML1       ,0                  
P08670_VIM         ,0                  
P15153_RAC2        ,96                 
P09429_HMGB1       ,0                  
P62258_YWHAE       ,25                 
B4E1Z4_CFB         ,0                  
B5MDF5_RAN         ,0                  
B7Z6Z4_MYL6        ,11                 
P06454_PTMA        ,14                 
P40925-3_MDH1      ,0                  
P51149_RAB7A       ,0                  
C9JC84_FGG         ,0                  
P19971-2_TYMP      ,0                  
Q9UG63-2_ABCF2     ,41                 
P30838_ALDH3A1     ,0                  
C9JV77_AHSG        ,9                  
O15145_ARPC3       ,0                  
CON__P00761        ,0                  
CON__P01966        ,0                  
CON__P02538_KRT6A  ,12                 
CON__P02768-1_ALB  ,67                 
P02769_BSA         ,52                 
CON__P08779_KRT16  ,1                  
CON__P13645_KRT10  ,0                  
CON__P13646-1      ,0                  
CON__P35527_KRT9   ,2                  
CON__P60712_ACTB   ,0                  
CON__Q3MHH8        ,0                  
O75083_WDR1        ,0                  
D6RF35_GC          ,576                
E5RHG6_TBCA        ,0                  
E7EQR4_EZR         ,0                  
P02788_LTF         ,10                 
E7EX29_YWHAZ       ,0                  
P04406_GAPDH       ,46                 
P11413-2_G6PD      ,0                  
P55786_NPEPPS      ,0                  
O00764_PDXK        ,1                  
P0C0L5_C4B         ,0                  
P22079_LPO         ,0                  
P61160-2_ACTR2     ,3                  
Q14697-2_GANAB     ,0                  
P09382_LGALS1      ,0                  
P17858_PFKL        ,0                  
P06576_ATP5B       ,0                  
Q9NZL9_MAT2B       ,0                  
J3KPA1_CRISP3      ,0                  
P04075-2_ALDOA     ,0                  
P68431_HIST1H3A    ,1                  
O00299_CLIC1       ,0                  
O00391_QSOX1       ,28                 
O15511-2_ARPC5     ,0                  
O43707_ACTN4       ,0                  
O60888-2_CUTA      ,0                  
O75594_PGLYRP1     ,0                  
O95274_LYPD3       ,14                 
O95336_PGLS        ,0                  
P00330_ADH1        ,273                
P00338-3_LDHA      ,0                  
P00450_CP          ,0                  
P00489_GPB         ,91                 
P00491_PNP         ,0                  
P00558_PGK1        ,0                  
P00738_HP          ,165                
P00924_ENO1        ,2                  
P01008_SERPINC1    ,69                 
P01009_SERPINA1    ,34                 
P01023_A2M         ,25                 
P01024_C3          ,100                
P01033_TIMP1       ,0                  
P01034_CST3        ,0                  
P01036_CST4        ,8                  
P01037_CST1        ,57                 
P01042-2_KNG1      ,0                  
P01591_IGJ         ,19                 
P01593             ,0                  
P01598             ,0                  
P01616             ,0                  
P01622             ,0                  
P01623             ,0                  
P01624             ,84                 
P06314_IGKV4-1     ,0                  
P01714             ,24                 
P01717             ,0                  
P01763             ,0                  
P01767             ,0                  
P01779             ,0                  
P01780             ,0                  
P01833_PIGR        ,0                  
P01859_IGHG2       ,1                  
P01861_IGHG4       ,98                 
P01876_IGHA1       ,51                 
P01877_IGHA2       ,20                 
P02647_APOA1       ,42                 
P02671_FGA         ,0                  
P02675_FGB         ,0                  
P02750_LRG1        ,87                 
P02753_RBP4        ,0                  
P02760_AMBP        ,0                  
P02763_ORM1        ,0                  
P02787_TF          ,54                 
P02790_HPX         ,1                  
P02814_SMR3B       ,3                  
P03973_SLPI        ,30                 
P04004_VTN         ,0                  
P04040_CAT         ,0                  
P04080_CSTB        ,24                 
P04083_ANXA1       ,0                  
P04196_HRG         ,0                  
P04217_A1BG        ,129                
P04264_KRT1        ,0                  
P04280_PRB1        ,35                 
P04745_AMY1A       ,0                  
P04792_HSPB1       ,0                  
P04899-4_GNAI2     ,0                  
P05109_S100A8      ,0                  
P05164-3_MPO       ,0                  
P05386_RPLP1       ,0                  
P06396_GSN         ,0                  
P06702_S100A9      ,1                  
P06733_ENO1        ,0                  
A0A0A0MTS2_GPI     ,0                  
P06870_KLK1        ,5                  
P07108-6_DBI       ,444                
P07237_P4HB        ,0                  
P07339_CTSD        ,215                
P07737_PFN1        ,0                  
P07858_CTSB        ,0                  
P07900-2_HSP90AA1  ,0                  
P07996_THBS1       ,298                
P08107_HSPA1A      ,0                  
P08238_HSP90AB1    ,0                  
P08246_ELANE       ,2                  
P08311_CTSG        ,0                  
P08571_CD14        ,0                  
P08603_CFH         ,0                  
P09211_GSTP1       ,0                  
P09228_CST2        ,386                
P09960_LTA4H       ,0                  
P0C0S8_HIST1H2AG   ,0                  
P10412_HIST1H1E    ,0                  
P10599_TXN         ,0                  
