protein,protein frequency
A0A024R6X1_CES2    ,0                  
A0A075B6L0_IGLC3   ,0                  
A0A087WVW2_IGHG3   ,0                  
P06331             ,0                  
A0A075B6R9         ,0                  
A0A087WSX4         ,0                  
A0A087WT59_TTR     ,0                  
P19823_ITIH2       ,0                  
A0A087WX49_IGLL5   ,0                  
A0A0A0MS15         ,0                  
A0A087WV47_IGHG1   ,0                  
A0A087WW89         ,3                  
P06753-2_TPM3      ,0                  
Q9Y6R7_FCGBP       ,0                  
A0A087WZH9         ,0                  
A0A087WZM2_RNASET2 ,16                 
A0A087WZW8         ,8                  
A0A087X130         ,0                  
A0A075B6P5         ,0                  
A0A087X2C0         ,88                 
Q06830_PRDX1       ,10                 
P13797_PLS3        ,30                 
A8K2U0_A2ML1       ,0                  
P08670_VIM         ,0                  
P15153_RAC2        ,0                  
P09429_HMGB1       ,0                  
P62258_YWHAE       ,0                  
B4E1Z4_CFB         ,0                  
B5MDF5_RAN         ,0                  
B7Z6Z4_MYL6        ,0                  
P06454_PTMA        ,0                  
P40925-3_MDH1      ,0                  
P51149_RAB7A       ,0                  
C9JC84_FGG         ,0                  
P19971-2_TYMP      ,14                 
Q9UG63-2_ABCF2     ,0                  
P30838_ALDH3A1     ,0                  
C9JV77_AHSG        ,90                 
O15145_ARPC3       ,326                
CON__P00761        ,5                  
CON__P01966        ,0                  
CON__P02538_KRT6A  ,0                  
CON__P02768-1_ALB  ,0                  
P02769_BSA         ,110                
CON__P08779_KRT16  ,0                  
CON__P13645_KRT10  ,0                  
CON__P13646-1      ,0                  
CON__P35527_KRT9   ,218                
CON__P60712_ACTB   ,0                  
CON__Q3MHH8        ,0                  
O75083_WDR1        ,0                  
D6RF35_GC          ,0                  
E5RHG6_TBCA        ,0                  
E7EQR4_EZR         ,0                  
P02788_LTF         ,17                 
E7EX29_YWHAZ       ,0                  
P04406_GAPDH       ,0                  
P11413-2_G6PD      ,10                 
P55786_NPEPPS      ,152                
O00764_PDXK        ,0                  
P0C0L5_C4B         ,0                  
P22079_LPO         ,3                  
P61160-2_ACTR2     ,0                  
Q14697-2_GANAB     ,0                  
P09382_LGALS1      ,0                  
P17858_PFKL        ,0                  
P06576_ATP5B       ,16                 
Q9NZL9_MAT2B       ,3                  
J3KPA1_CRISP3      ,0                  
P04075-2_ALDOA     ,0                  
P68431_HIST1H3A    ,0                  
O00299_CLIC1       ,0                  
O00391_QSOX1       ,0                  
O15511-2_ARPC5     ,17                 
O43707_ACTN4       ,1                  
O60888-2_CUTA      ,116                
O75594_PGLYRP1     ,0                  
O95274_LYPD3       ,74                 
O95336_PGLS        ,0                  
P00330_ADH1        ,0                  
P00338-3_LDHA      ,0                  
P00450_CP          ,0                  
P00489_GPB         ,58                 
P00491_PNP         ,0                  
P00558_PGK1        ,12                 
P00738_HP          ,0                  
P00924_ENO1        ,164                
P01008_SERPINC1    ,2                  
P01009_SERPINA1    ,0                  
P01023_A2M         ,0                  
P01024_C3          ,0                  
P01033_TIMP1       ,0                  
P01034_CST3        ,0                  
P01036_CST4        ,0                  
P01037_CST1        ,0                  
P01042-2_KNG1      ,0                  
P01591_IGJ         ,0                  
P01593             ,5                  
P01598             ,0                  
P01616             ,11                 
P01622             ,0                  
P01623             ,18                 
P01624             ,0                  
P06314_IGKV4-1     ,2                  
P01714             ,0                  
P01717             ,0                  
P01763             ,0                  
P01767             ,0                  
P01779             ,0                  
P01780             ,12                 
P01833_PIGR        ,0                  
P01859_IGHG2       ,10                 
P01861_IGHG4       ,9                  
P01876_IGHA1       ,0                  
P01877_IGHA2       ,0                  
P02647_APOA1       ,10                 
P02671_FGA         ,0                  
P02675_FGB         ,0                  
P02750_LRG1        ,0                  
P02753_RBP4        ,7                  
P02760_AMBP        ,0                  
P02763_ORM1        ,0                  
P02787_TF          ,2                  
P02790_HPX         ,0                  
P02814_SMR3B       ,40                 
P03973_SLPI        ,0                  
P04004_VTN         ,0                  
P04040_CAT         ,0                  
P04080_CSTB        ,0                  
P04083_ANXA1       ,4                  
P04196_HRG         ,18                 
P04217_A1BG        ,0                  
P04264_KRT1        ,20                 
P04280_PRB1        ,25                 
P04745_AMY1A       ,0                  
P04792_HSPB1       ,0                  
P04899-4_GNAI2     ,0                  
P05109_S100A8      ,0                  
P05164-3_MPO       ,0                  
P05386_RPLP1       ,0                  
P06396_GSN         ,72                 
P06702_S100A9      ,0                  
P06733_ENO1        ,67                 
A0A0A0MTS2_GPI     ,72                 
P06870_KLK1        ,0                  
P07108-6_DBI       ,0                  
P07237_P4HB        ,0                  
P07339_CTSD        ,0                  
P07737_PFN1        ,9                  
P07858_CTSB        ,0                  
P07900-2_HSP90AA1  ,0                  
P07996_THBS1       ,0                  
P08107_HSPA1A      ,65                 
P08238_HSP90AB1    ,0                  
P08246_ELANE       ,0                  
P08311_CTSG        ,0                  
P08571_CD14        ,0                  
P08603_CFH         ,0                  
P09211_GSTP1       ,0                  
P09228_CST2        ,0                  
P09960_LTA4H       ,0                  
P0C0S8_HIST1H2AG   ,0                  
P10412_HIST1H1E    ,6                  
P10599_TXN         ,0                  
P10909-2_CLU       ,1                  
P11021_HSPA5       ,17                 
P11142_HSPA8       ,0                  
P11215-2_ITGAM     ,0                  
P12273_PIP         ,0                  
P12429_ANXA3       ,26                 
P12814-3_ACTN1     ,0                  
P13688_CEACAM1     ,24                 
P13796_LCP1        ,0                  
P14174_MIF         ,79                 
P14550_AKR1A1      ,0                  
P14618_PKM2        ,0                  
P14780_MMP9        ,5                  
P16401_HIST1H1B    ,0                  
P16402_HIST1H1D    ,0                  
P16403_HIST1H1C    ,0                  
P17174_GOT1        ,0                  
P17931_LGALS3      ,0                  
P18510-2_IL1RN     ,0                  
P18669_PGAM1       ,59                 
P19961_AMY2B       ,222                
P20061_TCN1        ,0                  
P20160_AZU1        ,0                  
P20618_PSMB1       ,0                  
P21333_FLNA        ,0                  
P22314_UBA1        ,6                  
Q32Q12_NME1-NME2   ,0                  
P22532_SPRR2D      ,0                  
P22894_MMP8        ,11                 
P23280_CA6         ,0                  
P23284_PPIB        ,0                  
P23381_WARS        ,0                  
E9PK25_CFL1        ,0                  
P24158_PRTN3       ,0                  
P25311_AZGP1       ,0                  
P26038_MSN         ,0                  
P28325_CST5        ,42                 
P29401-2_TKT       ,0                  
P29508_SERPINB3    ,0                  
P30044_PRDX5       ,0                  
P30101_PDIA3       ,0                  
P30740_SERPINB1    ,0                  
P31025_LCN1        ,0                  
P31146_CORO1A      ,0                  
P31151_S100A7      ,0                  
P31946-2           ,12                 
P31947_SFN         ,0                  
P31949_S100A11     ,0                  
P32926_DSG3        ,0                  
P35321_SPRR1A      ,0                  
P35579_MYH9        ,0                  
P36952_SERPINB5    ,2                  
P37802-2_TAGLN2    ,0                  
P37837_TALDO1      ,0                  
P40121_CAPG        ,0                  
B1AK88_CAPZB       ,0                  
P50395_GDI2        ,19                 
P52209_PGD         ,23                 
P52566_ARHGDIB     ,0                  
P52907_CAPZA1      ,0                  
P53634_CTSC        ,20                 
P55058_PLTP        ,0                  
P59665_DEFA1       ,0                  
P59998-3_ARPC4     ,0                  
P60174_TPI1        ,53                 
P61158_ACTR3       ,2                  
P61586_RHOA        ,4                  
P61626_LYZ         ,0                  
P61769_B2M         ,14                 
P62328_TMSB4X      ,40                 
P62805_HIST1H4A    ,0                  
P62937_PPIA        ,42                 
P62942_FKBP1A      ,6                  
P63261_ACTG1       ,0                  
P63313_TMSB10      ,0                  
P68032_ACTC1       ,3                  
P68371_TUBB4B      ,0                  
P68871_HBB         ,0                  
P69905_HBA1        ,0                  
P78417_GSTO1       ,0                  
X6R8F3_LCN2        ,0                  
P80748             ,398                
Q01469_FABP5       ,2                  
Q01518_CAP1        ,4                  
Q02413_DSG1        ,0                  
Q02487_DSC2        ,0                  
Q07654_TFF3        ,0                  
Q08188_TGM3        ,0                  
Q08380_LGALS3BP    ,0                  
Q14508_WFDC2       ,0                  
Q14847_LASP1       ,0                  
Q14974_KPNB1       ,0                  
Q14CN2_CLCA4       ,0                  
H0YBX6_UBE2V2      ,0                  
A0A087WV23_SH3BGRL3,0                  
Q68D86_CCDC102B    ,0                  
Q6P5S2_C6orf58     ,0                  
Q8N4F0_BPIFB2      ,0                  
Q8TAX7_MUC7        ,0                  
Q8TDL5_BPIFB1      ,0                  
Q96DA0_ZG16B       ,0                  
Q96DR5_BPIFA2      ,0                  
Q99536_VAT1        ,0                  
Q99879_HIST1H2BM   ,0                  
Q9BQR3_PRSS27      ,12                 
Q9BRA2_TXNDC17     ,34                 
Q9BRF8_CPPED1      ,0                  
Q9HC84_MUC5B       ,0                  
Q9HD89_RETN        ,128                
Q9NQ38-3_SPINK5    ,0                  
Q9UBC9_SPRR3       ,0                  
Q9UBG3_CRNN        ,84                 
Q9UBX7-3_KLK11     ,0                  
Q9UGM3-6_DMBT1     ,0                  
Q9UIV8_SERPINB13   ,0                  
Q9UKR3_KLK13       ,27                 
V9HW75_NUCB2       ,0                  
