protein,protein frequency
A0A024R6X1_CES2    ,0                  
A0A075B6L0_IGLC3   ,13                 
A0A087WVW2_IGHG3   ,0                  
P06331             ,0                  
A0A075B6R9         ,2                  
A0A087WSX4         ,0                  
A0A087WT59_TTR     ,2                  
P19823_ITIH2       ,0                  
A0A087WX49_IGLL5   ,0                  
A0A0A0MS15         ,307                
A0A087WV47_IGHG1   ,0                  
A0A087WW89         ,0                  
P06753-2_TPM3      ,0                  
Q9Y6R7_FCGBP       ,15                 
A0A087WZH9         ,1                  
A0A087WZM2_RNASET2 ,0                  
A0A087WZW8         ,20                 
A0A087X130         ,0                  
A0A075B6P5         ,0                  
A0A087X2C0         ,30                 
Q06830_PRDX1       ,382                
P13797_PLS3        ,0                  
A8K2U0_A2ML1       ,0                  
P08670_VIM         ,0                  
P15153_RAC2        ,0                  
P09429_HMGB1       ,0                  
P62258_YWHAE       ,0                  
B4E1Z4_CFB         ,5                  
B5MDF5_RAN         ,5                  
B7Z6Z4_MYL6        ,114                
P06454_PTMA        ,72                 
P40925-3_MDH1      ,0                  
P51149_RAB7A       ,0                  
C9JC84_FGG         ,0                  
P19971-2_TYMP      ,46                 
Q9UG63-2_ABCF2     ,0                  
P30838_ALDH3A1     ,0                  
C9JV77_AHSG        ,52                 
O15145_ARPC3       ,94                 
CON__P00761        ,0                  
CON__P01966        ,0                  
CON__P02538_KRT6A  ,0                  
CON__P02768-1_ALB  ,0                  
P02769_BSA         ,0                  
CON__P08779_KRT16  ,576                
CON__P13645_KRT10  ,0                  
CON__P13646-1      ,0                  
CON__P35527_KRT9   ,0                  
CON__P60712_ACTB   ,26                 
CON__Q3MHH8        ,190                
O75083_WDR1        ,0                  
D6RF35_GC          ,0                  
E5RHG6_TBCA        ,24                 
E7EQR4_EZR         ,1                  
P02788_LTF         ,0                  
E7EX29_YWHAZ       ,576                
P04406_GAPDH       ,0                  
P11413-2_G6PD      ,13                 
P55786_NPEPPS      ,331                
O00764_PDXK        ,5                  
P0C0L5_C4B         ,0                  
P22079_LPO         ,0                  
P61160-2_ACTR2     ,0                  
Q14697-2_GANAB     ,0                  
P09382_LGALS1      ,0                  
P17858_PFKL        ,0                  
P06576_ATP5B       ,26                 
Q9NZL9_MAT2B       ,0                  
J3KPA1_CRISP3      ,0                  
P04075-2_ALDOA     ,39                 
P68431_HIST1H3A    ,2                  
O00299_CLIC1       ,38                 
O00391_QSOX1       ,0                  
O15511-2_ARPC5     ,576                
O43707_ACTN4       ,1                  
O60888-2_CUTA      ,0                  
O75594_PGLYRP1     ,0                  
O95274_LYPD3       ,9                  
O95336_PGLS        ,9                  
P00330_ADH1        ,0                  
P00338-3_LDHA      ,0                  
P00450_CP          ,0                  
P00489_GPB         ,0                  
P00491_PNP         ,0                  
P00558_PGK1        ,0                  
P00738_HP          ,0                  
P00924_ENO1        ,0                  
P01008_SERPINC1    ,11                 
P01009_SERPINA1    ,0                  
P01023_A2M         ,0                  
P01024_C3          ,0                  
P01033_TIMP1       ,0                  
P01034_CST3        ,0                  
P01036_CST4        ,0                  
P01037_CST1        ,0                  
P01042-2_KNG1      ,18                 
P01591_IGJ         ,2                  
P01593             ,0                  
P01598             ,0                  
P01616             ,0                  
P01622             ,0                  
P01623             ,0                  
P01624             ,0                  
P06314_IGKV4-1     ,0                  
P01714             ,1                  
P01717             ,0                  
P01763             ,0                  
P01767             ,0                  
P01779             ,63                 
P01780             ,0                  
P01833_PIGR        ,0                  
P01859_IGHG2       ,0                  
P01861_IGHG4       ,0                  
P01876_IGHA1       ,110                
P01877_IGHA2       ,1                  
P02647_APOA1       ,42                 
P02671_FGA         ,0                  
P02675_FGB         ,0                  
P02750_LRG1        ,199                
P02753_RBP4        ,9                  
P02760_AMBP        ,0                  
P02763_ORM1        ,0                  
P02787_TF          ,22                 
P02790_HPX         ,0                  
P02814_SMR3B       ,0                  
P03973_SLPI        ,0                  
P04004_VTN         ,0                  
P04040_CAT         ,0                  
P04080_CSTB        ,1                  
P04083_ANXA1       ,0                  
P04196_HRG         ,8                  
P04217_A1BG        ,0                  
P04264_KRT1        ,0                  
P04280_PRB1        ,0                  
P04745_AMY1A       ,57                 
P04792_HSPB1       ,0                  
P04899-4_GNAI2     ,0                  
P05109_S100A8      ,0                  
P05164-3_MPO       ,0                  
P05386_RPLP1       ,52                 
P06396_GSN         ,0                  
P06702_S100A9      ,0                  
P06733_ENO1        ,9                  
A0A0A0MTS2_GPI     ,26                 
P06870_KLK1        ,0                  
P07108-6_DBI       ,45                 
P07237_P4HB        ,0                  
P07339_CTSD        ,0                  
P07737_PFN1        ,0                  
P07858_CTSB        ,0                  
P07900-2_HSP90AA1  ,0                  
P07996_THBS1       ,0                  
P08107_HSPA1A      ,230                
P08238_HSP90AB1    ,0                  
P08246_ELANE       ,0                  
P08311_CTSG        ,0                  
P08571_CD14        ,0                  
P08603_CFH         ,0                  
P09211_GSTP1       ,3                  
P09228_CST2        ,0                  
P09960_LTA4H       ,0                  
P0C0S8_HIST1H2AG   ,32                 
P10412_HIST1H1E    ,14                 
P10599_TXN         ,0                  
P10909-2_CLU       ,24                 
P11021_HSPA5       ,0                  
P11142_HSPA8       ,278                
P11215-2_ITGAM     ,0                  
P12273_PIP         ,0                  
P12429_ANXA3       ,0                  
P12814-3_ACTN1     ,0                  
P13688_CEACAM1     ,13                 
P13796_LCP1        ,0                  
P14174_MIF         ,0                  
P14550_AKR1A1      ,157                
P14618_PKM2        ,17                 
P14780_MMP9        ,0                  
P16401_HIST1H1B    ,0                  
P16402_HIST1H1D    ,196                
P16403_HIST1H1C    ,0                  
P17174_GOT1        ,242                
P17931_LGALS3      ,0                  
P18510-2_IL1RN     ,3                  
P18669_PGAM1       ,6                  
P19961_AMY2B       ,432                
P20061_TCN1        ,0                  
P20160_AZU1        ,0                  
P20618_PSMB1       ,0                  
P21333_FLNA        ,0                  
P22314_UBA1        ,0                  
Q32Q12_NME1-NME2   ,35                 
P22532_SPRR2D      ,2                  
P22894_MMP8        ,0                  
P23280_CA6         ,0                  
P23284_PPIB        ,0                  
P23381_WARS        ,0                  
E9PK25_CFL1        ,30                 
P24158_PRTN3       ,0                  
P25311_AZGP1       ,0                  
P26038_MSN         ,1                  
P28325_CST5        ,0                  
P29401-2_TKT       ,0                  
P29508_SERPINB3    ,4                  
P30044_PRDX5       ,128                
P30101_PDIA3       ,12                 
P30740_SERPINB1    ,0                  
P31025_LCN1        ,11                 
P31146_CORO1A      ,4                  
P31151_S100A7      ,4                  
P31946-2           ,86                 
P31947_SFN         ,6                  
P31949_S100A11     ,0                  
P32926_DSG3        ,0                  
P35321_SPRR1A      ,0                  
P35579_MYH9        ,0                  
P36952_SERPINB5    ,0                  
P37802-2_TAGLN2    ,0                  
P37837_TALDO1      ,0                  
P40121_CAPG        ,1                  
B1AK88_CAPZB       ,18                 
P50395_GDI2        ,32                 
P52209_PGD         ,135                
P52566_ARHGDIB     ,0                  
P52907_CAPZA1      ,0                  
P53634_CTSC        ,0                  
P55058_PLTP        ,0                  
P59665_DEFA1       ,0                  
P59998-3_ARPC4     ,0                  
P60174_TPI1        ,20                 
P61158_ACTR3       ,0                  
P61586_RHOA        ,20                 
P61626_LYZ         ,0                  
P61769_B2M         ,0                  
P62328_TMSB4X      ,22                 
P62805_HIST1H4A    ,14                 
P62937_PPIA        ,186                
P62942_FKBP1A      ,0                  
P63261_ACTG1       ,0                  
P63313_TMSB10      ,0                  
P68032_ACTC1       ,0                  
P68371_TUBB4B      ,0                  
P68871_HBB         ,0                  
P69905_HBA1        ,0                  
P78417_GSTO1       ,3                  
X6R8F3_LCN2        ,3                  
P80748             ,0                  
Q01469_FABP5       ,16                 
Q01518_CAP1        ,0                  
Q02413_DSG1        ,16                 
Q02487_DSC2        ,0                  
Q07654_TFF3        ,0                  
Q08188_TGM3        ,0                  
Q08380_LGALS3BP    ,0                  
Q14508_WFDC2       ,0                  
Q14847_LASP1       ,0                  
Q14974_KPNB1       ,0                  
Q14CN2_CLCA4       ,0                  
H0YBX6_UBE2V2      ,176                
A0A087WV23_SH3BGRL3,0                  
Q68D86_CCDC102B    ,0                  
Q6P5S2_C6orf58     ,50                 
Q8N4F0_BPIFB2      ,0                  
Q8TAX7_MUC7        ,293                
Q8TDL5_BPIFB1      ,0                  
Q96DA0_ZG16B       ,0                  
Q96DR5_BPIFA2      ,0                  
Q99536_VAT1        ,185                
Q99879_HIST1H2BM   ,0                  
Q9BQR3_PRSS27      ,0                  
Q9BRA2_TXNDC17     ,0                  
Q9BRF8_CPPED1      ,2                  
Q9HC84_MUC5B       ,0                  
Q9HD89_RETN        ,0                  
Q9NQ38-3_SPINK5    ,0                  
Q9UBC9_SPRR3       ,0                  
Q9UBG3_CRNN        ,0                  
Q9UBX7-3_KLK11     ,0                  
Q9UGM3-6_DMBT1     ,0                  
Q9UIV8_SERPINB13   ,86                 
Q9UKR3_KLK13       ,9                  
V9HW75_NUCB2       ,0                  
