protein, probability of being in a group of size from 1 to 3 with acc higher or equal to 0.8182
A0A087WV47_IGHG1,0.00045766590389
Q14CN2_CLCA4,0.000610221205187
P23284_PPIB,0.000533943554539
P62937_PPIA,0.000991609458429
Q02413_DSG1,0.000762776506484
P12429_ANXA3,0.000686498855835
P63313_TMSB10,0.000305110602593
P15153_RAC2,0.000533943554539
P31025_LCN1,0.000228832951945
P60174_TPI1,0.000686498855835
P05164_3_MPO,0.000610221205187
E7EQR4_EZR,0.000762776506484
P00738_HP,0.000762776506484
P01036_CST4,0.0
Q99879_HIST1H2BM,0.00808543096873
A0A087WZM2_RNASET2,0.000228832951945
P69905_HBA1,0.000762776506484
P04899_4_GNAI2,0.000228832951945
B4E1Z4_CFB,0.000381388253242
P30740_SERPINB1,0.00114416475973
P18669_PGAM1,0.00106788710908
P05386_RPLP1,0.00999237223494
P01624,0.000228832951945
CON__P35527_KRT9,0.00213577421815
CON__P00761,0.0425629290618
P23280_CA6,0.000686498855835
P09429_HMGB1,0.000991609458429
P52907_CAPZA1,0.000228832951945
CON__Q3MHH8,0.000533943554539
P01009_SERPINA1,0.00526315789474
P08311_CTSG,0.000228832951945
P02790_HPX,0.000305110602593
P13688_CEACAM1,0.000686498855835
P63261_ACTG1,0.000305110602593
E5RHG6_TBCA,0.000762776506484
P09211_GSTP1,0.00091533180778
P01780,0.000686498855835
V9HW75_NUCB2,0.000839054157132
P09960_LTA4H,0.000381388253242
P68871_HBB,0.00106788710908
P68371_TUBB4B,0.000305110602593
P01034_CST3,0.000762776506484
Q08188_TGM3,0.00320366132723
P02760_AMBP,0.00091533180778
P01042_2_KNG1,7.62776506484e-05
P24158_PRTN3,0.000305110602593
O00391_QSOX1,0.000381388253242
P55786_NPEPPS,0.000533943554539
P17174_GOT1,0.000381388253242
C9JC84_FGG,0.000686498855835
P19961_AMY2B,0.000228832951945
Q14974_KPNB1,0.000762776506484
P30838_ALDH3A1,0.000305110602593
P28325_CST5,0.000610221205187
P23381_WARS,0.00091533180778
O75594_PGLYRP1,0.000762776506484
P01008_SERPINC1,0.00381388253242
CON__P13646_1,0.000381388253242
P09228_CST2,0.000839054157132
P02647_APOA1,0.000381388253242
A0A087WSX4,0.000762776506484
P0C0L5_C4B,0.000610221205187
P11142_HSPA8,0.00091533180778
B7Z6Z4_MYL6,0.00190694126621
P12273_PIP,0.000762776506484
CON__P13645_KRT10,0.000686498855835
Q9BRA2_TXNDC17,0.00045766590389
P22314_UBA1,0.00419527078566
P02675_FGB,0.00450038138825
P62258_YWHAE,0.0023646071701
P01023_A2M,0.00106788710908
P00924_ENO1,0.000610221205187
P04075_2_ALDOA,0.00106788710908
P17858_PFKL,0.000686498855835
P61586_RHOA,0.000991609458429
P04217_A1BG,0.000381388253242
P02753_RBP4,0.000991609458429
P35321_SPRR1A,0.000228832951945
P62942_FKBP1A,0.00114416475973
CON__P02768_1_ALB,0.000152555301297
P06331,0.000533943554539
P00450_CP,0.000381388253242
P08571_CD14,0.000762776506484
P52209_PGD,0.000533943554539
P36952_SERPINB5,0.000533943554539
P16401_HIST1H1B,0.000228832951945
P07900_2_HSP90AA1,0.000686498855835
P59998_3_ARPC4,0.000381388253242
P08670_VIM,0.00106788710908
P04406_GAPDH,0.000228832951945
P07339_CTSD,0.00549199084668
O00764_PDXK,0.000305110602593
B5MDF5_RAN,0.000305110602593
CON__P08779_KRT16,0.00175438596491
CON__P01966,0.000839054157132
P31946_2,0.00122044241037
A0A087WVW2_IGHG3,0.000839054157132
P00330_ADH1,0.00274599542334
A8K2U0_A2ML1,0.000152555301297
Q8N4F0_BPIFB2,0.000228832951945
P02763_ORM1,0.00106788710908
P14174_MIF,0.0048817696415
P06733_ENO1,0.000305110602593
P08246_ELANE,0.00045766590389
Q08380_LGALS3BP,0.000839054157132
P01714,0.00091533180778
Q9NZL9_MAT2B,0.00480549199085
P02671_FGA,0.00045766590389
P02787_TF,0.000152555301297
P01859_IGHG2,0.000762776506484
P16403_HIST1H1C,0.00183066361556
CON__P02538_KRT6A,7.62776506484e-05
P61158_ACTR3,0.000686498855835
P08603_CFH,0.00091533180778
A0A087WV23_SH3BGRL3,0.00091533180778
P02769_BSA,0.0
