"","rank","freq","gene","avg_cv_acc_after_nsc"
"1",1,15,"X12.5fmol_C1",-1
"2",2,13,"X25fmol_semtumor_S40",0.833333333333333
"3",3,10,"X25fmol_semtumor_S09",0.2
"4",4,7,"X12.5fmol_C4",0.5
"5",5,6,"X25fmol_semtumor_S57",0.6
"6",6,5,"X12.5fmol_C2",0.8
"7",7,5,"X12.5fmol_C10",0.4
"8",8,4,"X12.5fmol_Ro",0.833333333333333
"9",9,3,"X25fmol_semtumor_T16",1
"10",10,2,"X25fmol_semtumor_S36",0.666666666666667
"11",11,0,"X50fmol_T1T2_S77",0.666666666666667
"12",12,0,"X50fmol_T1T2_S57",0.666666666666667
"13",13,0,"X50fmol_T1T2_S17",0.6
"14",14,0,"X25fmol_semtumor_S68",0.833333333333333
"15",15,0,"X25fmol_semtumor_S64",0.8
"16",16,0,"X25fmol_semtumor_S61",0.6
"17",17,0,"X25fmol_semtumor_S55",0.5
"18",18,0,"X25fmol_semtumor_S49",0.8
"19",19,0,"X12.5fmol_C9",0.8
"20",20,0,"X12.5fmol_C8",0.833333333333333
"21",21,0,"X12.5fmol_C5",0.666666666666667
"22",22,0,"X12.5fmol_C3",0.666666666666667
